child_id,target,feature_1,feature_2,feature_3,feature_4,feature_5,feature_6,feature_7,feature_8,feature_9,feature_10,feature_11,feature_12,feature_13,feature_14,feature_15
ID_0I0999N6S,58.660484451616895,child_observe_total,teacher_emotional_total,child_observe_diligent,teacher_emotional_total_pri_fees_amount_pv_multiply,child_observe_attentive,teacher_emotional_total_pri_fees_amount_multiply,child_observe_interested,count_staff_contract_std_enum,child_gender,count_toilets_children,teacher_social_total,child_dob_month,count_staff_gender_female_std_enum,teacher_emotional_understand,pri_fees_amount_std_enum
ID_GQ6ONJ4FP,46.75177558789923,child_observe_total,teacher_emotional_total,child_observe_concentrated,child_observe_diligent,child_observe_attentive,teacher_emotional_total_pri_fees_amount_multiply,child_gender,child_observe_interested,teacher_emotional_understand,child_dob_day_mean_enum,id_facility,teacher_social_total,teacher_emotional_selfstarter,pra_agency_understand,child_date_day_mean_enum
ID_YZ76CVRW3,46.76736874558057,child_observe_diligent,data_year_std_enum,child_observe_total,child_observe_total_mean,child_observe_attentive,child_age_std_enum,child_dob_day_std,count_register_all_std,child_age_mean,count_register_year_2017_mean,child_date_month_std_enum,teacher_emotional_understand,child_age_std,child_observe_general,teacher_emotional_selfstarter
ID_BNINCRXH8,69.61288483686414,child_observe_total,child_age,child_observe_concentrated,child_observe_diligent,child_observe_attentive,teacher_emotional_total,child_gender,child_age_child_height_divide,count_staff_qual_nqf4_5_std_enum,count_register_gender_male_mean_enum,child_years_in_programme,count_register_year_grader_mean,child_age_std,count_register_all_std_enum,child_dob_day
ID_1U7GDTLRI,45.81328984633757,child_observe_total,child_observe_diligent,child_observe_attentive,child_observe_interested,pri_fees_amount_std_enum,pri_funding_subsidy_mean_enum,obs_materials,count_staff_contract_std_enum,count_toilets_children_mean_prov,id_facility,pri_fees_amount_pv_std,count_staff_contract_mean,count_register_race_std_enum,count_register_year_2020,id_ward_mean
ID_HUPM6GALH,66.58415357993836,child_age,child_age_group,ses_proxy,child_observe_diligent,child_observe_total,id_facility,ward_best,child_observe_attentive,child_age_std_enum,child_age_child_height_divide,child_observe_total_mean,child_age_mean,child_gender,teacher_selfcare_total_mean_enum,child_date_month_std
ID_RLC7D66D6,41.76805794975459,child_observe_total,child_height,child_observe_concentrated,child_observe_diligent,child_observe_attentive,teacher_emotional_total,child_observe_interested,child_observe_general,child_years_in_programme,pri_separate,teacher_social_peers,child_zha,id_ward_std_enum,child_stunted,child_enrollment_age
ID_3IDOXBRX5,44.744502797475626,child_observe_total,teacher_emotional_total,child_observe_diligent,child_zha,child_date_month,child_gender,child_observe_attentive,child_observe_interested,child_age_child_height_divide,child_years_in_programme,teacher_emotional_understand,teacher_social_peers,obs_materials_12,obs_materials,child_dob_day_mean_enum
ID_5HF27TNFX,51.01659148212784,child_observe_total,child_observe_concentrated,child_observe_diligent,data_year_std_enum,child_observe_total_mean,child_zha,child_observe_attentive,child_age_std_enum,child_observe_general,obs_materials_12,count_children_precovid_std,count_register_year_2020,teacher_emotional_understand,latitude_std,child_dob_month
ID_C9RZNXMYF,49.288068124850284,teacher_emotional_total,child_age,child_observe_diligent,child_observe_total,child_observe_attentive,obs_materials,child_enrollment_age,count_staff_gender_female_std_enum,teacher_social_peers,teacher_emotional_understand,teacher_emotional_total_pri_fees_amount_pv_multiply,teacher_social_nonaggressive,child_observe_general,quintile_mean_enum,pri_fees_amount_pv_mean_enum
ID_63GVO6496,56.24402636003935,child_observe_total,child_dob_year_mean,child_observe_diligent,child_date_month,child_observe_attentive,id_facility,child_observe_total_mean,child_gender,latitude_std_enum,pri_year_mean,child_observe_interested,child_years_in_programme,child_dob_day,pri_funding_subsidy_mean_enum,child_observe_concentrated
ID_MQDKXQO9R,34.54416904890582,child_observe_total_mean,count_staff_contract_std_enum,child_months_enrolment,count_register_all_std_enum,pri_funding_subsidy_mean_enum,child_years_in_programme,count_register_year_2020,count_staff_salary_paid_std_enum,pri_fees_amount_pv_mean_enum,child_zha_mean_enum,count_register_year_2020_std_enum,id_dc_n_std_enum,count_staff_salary_std_enum,count_staff_time_full_std_enum,id_dc_n_std
ID_8NHEV4JYV,20.027743910293676,child_dob_day,obs_materials,child_observe_total_mean,count_register_all_std,pri_separate,child_years_in_programme,count_children_precovid_std,id_dc_n_std_enum,count_register_year_2020,teacher_social_assistance,enrollment_duration,child_months_enrolment,teacher_selfcare_total_mean_enum,pri_time_open_hours_std,count_register_gender_std
ID_49Q0B09ZE,45.1671308048426,child_observe_total,child_age,child_age_group,child_height,child_observe_diligent,child_observe_concentrated,latitude_longitude_divide,child_observe_attentive,child_observe_general,child_dob_month,child_observe_interested,id_facility,id_ward_mean,count_children_precovid_std,child_age_std_enum
ID_OFDARJRN8,27.404248291400663,child_height,child_age_child_height_multiply,child_gender,child_age_child_height_divide,latitude_longitude_divide,count_register_year_2020,child_zha,teacher_emotional_understand,obs_materials_12,count_children_present,teacher_social_assistance,child_years_in_programme,obs_materials,child_observe_interested,teacher_emotional_total_mean_enum
ID_SUUJWQCUK,61.799560827008435,child_age,child_observe_total,ses_proxy,child_observe_concentrated,child_observe_diligent,child_age_group,child_observe_attentive,child_date_month,child_gender,ward_best,pri_fees_amount_pv,pri_fees_amount_pv_pri_fees_amount_multiply,child_age_child_height_divide,pri_fees_amount,loc_group
ID_LSRZPR784,50.89102341812441,teacher_emotional_total,child_observe_diligent,child_dob_day,child_observe_total,child_observe_total_mean,child_dob_day_mean,child_observe_total_mean_enum,child_observe_attentive,teacher_emotional_total_pri_fees_amount_multiply,child_date_month,child_gender,pri_calc_time_close,count_register_year_2021,teacher_emotional_understand,teacher_social_total
ID_W0L3EEXNX,39.07094342201137,child_observe_total,teacher_emotional_total,child_observe_concentrated,child_observe_diligent,child_observe_attentive,child_gender,teacher_emotional_understand,teacher_social_peers,child_age_child_height_divide,teacher_emotional_selfstarter,obs_materials_12,pri_fees_amount_count,count_register_year_2020,teacher_social_cooperate,teacher_selfcare_total_mean_enum
ID_O5WURWYLF,41.794897538364424,child_height,child_observe_total_mean_enum,child_observe_total_mean,child_zha,count_register_race_other_std_enum,child_gender,child_observe_concentrated,count_register_year_2020,pri_fees_amount_count,child_zha_std,pri_fees_amount_pv_count,pri_year_mean,pri_year_std_enum,pri_funding_subsidy_mean_enum,id_facility
ID_EQAZQ4SZ7,65.79929229257081,child_observe_total,child_observe_concentrated,child_age,child_observe_diligent,child_age_group,child_height,child_date_month,child_observe_attentive,child_observe_interested,latitude_longitude_divide,child_gender,child_observe_general,child_zha,count_register_all_std,teacher_emotional_understand
ID_UXL36DZL7,58.58598451954252,child_height,teacher_emotional_total,child_age,child_observe_total,child_dob_month,teacher_emotional_total_pri_fees_amount_multiply,child_observe_diligent,child_date_month,child_observe_attentive,child_date_day_mean_enum,pri_funding_subsidy_mean_enum,child_zha,teacher_emotional_total_pri_fees_amount_pv_multiply,child_gender,teacher_social_nonaggressive
ID_WCDXTO0HT,32.87841823806071,child_height,obs_materials,child_zha,count_staff_contract_std_enum,count_register_race_std_enum,child_observe_total_mean,pri_funding_subsidy_mean_enum,quintile_std,count_register_year_2020,pri_fees_amount_pv_mean_enum,count_register_year_2018_std,latitude_std,teacher_social_peers,count_register_year_2020_std_enum,count_staff_gender_std_enum
ID_B6TIIEIQJ,46.34581392858641,child_observe_total,child_observe_concentrated,child_age,child_observe_diligent,child_observe_attentive,child_observe_interested,child_months_enrolment,child_observe_general,teacher_emotional_understand,teacher_emotional_total,child_years_in_programme,count_staff_salary_paid_std_enum,count_staff_gender_female_std_enum,pri_fees_amount_pv_mean_enum,teacher_emotional_met
ID_7UZ66G4L8,55.446680741902156,teacher_emotional_total,child_observe_total,child_observe_diligent,latitude_longitude_divide,child_observe_attentive,child_observe_total_mean,child_age,child_observe_total_mean_enum,child_gender,pri_funding_subsidy_mean_enum,id_ward_mean,count_register_all_std,count_children_precovid_std,count_register_year_2017_mean,id_facility_n_std
ID_WYP2V4JWK,35.80536382847871,teacher_emotional_total,child_observe_diligent,child_observe_total,child_height,child_observe_attentive,child_observe_total_mean,obs_materials,count_staff_salary_unpaid,child_zha,count_register_year_2020,teacher_social_total,child_age_child_height_divide,child_observe_general,teacher_selfcare_total_mean_enum,teacher_social_peers
ID_HEKRYM1A4,49.673002429076526,child_observe_total,teacher_emotional_total,child_observe_concentrated,child_observe_diligent,child_observe_attentive,child_observe_interested,pri_language,child_observe_general,child_enrollment_age,teacher_emotional_understand,teacher_emotional_selfstarter,count_children_present,count_register_year_2020,pri_time_open_minutes,count_staff_qual_skills
ID_6R9STZK86,60.503602878492046,child_age,child_date_month,child_observe_total_mean,child_months_enrolment,enrollment_duration,count_staff_qual_nqf4_5_std_enum,count_staff_contract_std_enum,count_register_year_2014_std_enum,count_staff_salary_std_enum,count_register_year_2015_std_enum,count_register_year_2014_std,count_register_all_std_enum,child_gender,count_register_year_2014_mean,child_years_in_programme
ID_ABMQ8URI7,47.45772767302541,child_height,child_observe_diligent,child_observe_attentive,child_observe_total_mean_enum,child_observe_general,child_observe_total_mean,pri_calc_time_close,id_facility_n_std,count_staff_salary_paid_std_enum,pri_capacity,pri_funding_subsidy_mean_enum,teacher_selfcare_total_mean_enum,child_date_day_std_enum,teacher_social_assistance,child_observe_concentrated
