child_id,current_variable,current_elom,new_variable,new_elom,relevant_category_change,variable
ID_GQ6ONJ4FP,105.0,47.38370910864646,105.5,45.94153684478555,Green to Yellow,child_height
ID_YZ76CVRW3,101.5,46.00735809242647,105.5,46.6863550398925,Yellow to Green,child_height
ID_49Q0B09ZE,109.3000030517578,44.840637707439605,110.0,43.21533610314712,Yellow to Red,child_height
ID_ABMQ8URI7,111.0,48.02812647828225,105.5,46.21185992006065,Green to Yellow,child_height
ID_51ON1WCV7,110.0,46.98750635704075,105.5,45.247668298654816,Green to Yellow,child_height
ID_W1TNT3GRG,107.5,35.7388754667494,105.5,36.273668732697416,Red to Yellow,child_height
ID_BOWZ3YIOO,,36.43511209045547,105.5,35.13758621996642,Yellow to Red,child_height
ID_X97ZIQ7EP,,46.90639602471936,105.5,45.5685383685353,Green to Yellow,child_height
ID_GH4W2DKQS,110.0,46.69613185040053,105.5,43.24813890335521,Green to Yellow,child_height
ID_ZU4Y7EM9C,,37.43990040406923,105.5,34.55746270055515,Yellow to Red,child_height
ID_MJTE36ZC6,,50.48945420154482,105.5,45.245375162701066,Green to Yellow,child_height
ID_XT8I6HEVP,106.0,54.29999047461205,110.0,56.20775455823312,Yellow to Green,child_height
ID_XFEWCGGYJ,110.0,46.58712206880431,105.5,44.59374307730823,Green to Yellow,child_height
ID_T3KMB51H5,108.4000015258789,46.64531171542905,105.5,43.48710798292101,Green to Yellow,child_height
ID_66ZWO6HIR,,45.28964249393943,105.5,46.6002491032804,Yellow to Green,child_height
ID_PDCOBP37G,120.0,54.346412454115296,110.0,55.1844913269497,Yellow to Green,child_height
ID_FPEWP519B,101.0,35.48104036533992,105.5,38.34316966148455,Red to Yellow,child_height
ID_IVEBPD122,100.0,52.6382209806146,110.0,57.21393972183358,Yellow to Green,child_height
ID_P2BA7QUTM,109.5,49.00996127687913,105.5,45.25471508312759,Green to Yellow,child_height
ID_IL5M8MQX0,112.5,42.74466505284081,110.0,44.28628851822271,Red to Yellow,child_height
